,name_vacancy,salary_min,salary_max,salary_currency,url_vacancy,source
0,Курьер,25 000,35 000,руб.,https://hh.ru/vacancy/47294605?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
1,Водитель-курьер на личном автомобиле,90 000,100 000,руб.,https://hh.ru/vacancy/47287014?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
2,Курьер по району (свободный график),90 000,60 000,руб.,https://hh.ru/vacancy/44621349?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
3,Водитель-курьер с личным легковым автомобилем,90 000,150 000,руб.,https://hh.ru/vacancy/47284063?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
4,Водитель-курьер(доставка документов),60 000,75 000,руб.,https://hh.ru/vacancy/47291018?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
5,Курьер,,75 000,руб.,https://hh.ru/vacancy/45688302?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
6,Водитель-курьер с личным автомобилем,80 000,120 000,руб.,https://hh.ru/vacancy/46184414?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
7,Водитель-Курьер на личном автомобиле по доставке заказов СДЭК,80 000,100 000,руб.,https://hh.ru/vacancy/47278527?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
8,Водитель-курьер с личным автомобилем,80 000,100 000,руб.,https://hh.ru/vacancy/47279803?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
9,Курьер - водитель на личном автомобиле,60 000,90 000,руб.,https://hh.ru/vacancy/47304650?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
10,Водитель-курьер,95 000,105 000,руб.,https://hh.ru/vacancy/47230074?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
11,Курьер (доставка документов),35 000,55 000,руб.,https://hh.ru/vacancy/46389321?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
12,Водитель-курьер на личном автомобиле,,55 000,руб.,https://hh.ru/vacancy/41737702?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
13,Курьер,40 000,85 000,руб.,https://hh.ru/vacancy/47306566?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
